members
BMW
Continental
Ford Motor Company
General Motors Holding LLC
Mercedes Benz
Robert Bosch GmbH
Stellantis
TMC
Volkswagen AG
DENSO CORPORATION
Vector Informatik GmbH
"Automotive Intelligence and Control of China Co., Ltd"
ALTEN GmbH
Aptiv
Arm Limited
"Beijing Baidu Netcom Science Technology Co., Ltd"
"Beijing Jingwei HiRain Technologies Co.,Inc"
"China Automotive Innovation Corporation Technology Co., Ltd"
Capgemini Deutschland GmbH
Commissariat à l'énergie atomique et aux énergies alternatives
Cognizant Mobility GmbH
DASSAULT SYSTEMES
"Huizhou Desay SV Automotive Co., Ltd"
dSPACE GmbH
Elektrobit Automotive GmbH
"eSOL Co., Ltd"
ETAS GmbH
Great Wall Motor Company Limited
"Green Hills Software, Inc"
HCL Technologies
"Honda Motor Co., Ltd"
"Huawei Technologies Co., Ltd"
Hyundai Motor Company
"IAT Automobile Technology Co., Ltd"
Infineon Technologies AG
Intel
"iSOFT Infrastructure Software Co., Ltd"
ITK Engineering GmbH
KPIT Technologies Limited
L&T Technology Services Limited
LG ELECTRONICS INC
Luxoft Global Operations GmbH
Magna International Inc
"NEUSOFT REACH AUTOMOTIVE TECHNOLOGY (SHANGHAI) CO., LTD"
NISSAN MOTOR CO.LTD
NXP B.V
Panasonic Corporation
RENAULT SAS
Renesas Electronics Corporation
SCSK Corporation
Siemens Industry Software Inc (SISW
SodiusWillert SAS
STMicroelectronics NV
Synopsys Inc
Tata Elxsi Ltd
Tata Motors Limited
TATA Consultancy Services Limited
Tech Mahindra Limited
"The MathWorks, Inc"
"Thunder Software Technology Co., Ltd"
thyssenkrupp AG
Tieto Finland Support Services Oy
Valeo
Vector Informatik GmbH
"Veoneer, Inc"
Vitesco Technologies Group AG
VOLVO CAR CORPORATION
Volvo Technology AB
ZF Friedrichshafen AG
"Abup Technology Co.,Ltd"
Acsia Technologies Private Limited
Nanjing ACT Electronics Science and Technology limited Co.Ltd
Airbiquity Inc
AirPlug
ANCIT CONSULTING PVT LTD
"AutoCore Intelligence Technology (Nanjing) Co., Ltd"
Avelabs LLC
AVIN SYSTEMS PRIVATE LIMITED
AUTONOM TEKNOLOJI YAZILIM SANAYI VE TIC. LTD. ŞTİ
BASICWORX ENGINEERING GmbH
Basys GmbH
"Beijing Greenstone Technology Co.,Ltd"
beyless
"BlueSmart Tech (Shanghai) Stock.Co.,LTD"
C2A-SEC LTD
"Center for Embedded Computing Systems, Nagoya University"
Deepware
easycore GmbH
eJad
emmtrix Technologies GmbH
E.S.R.Labs AG
Ethernovia Inc
"E-Tronic (Guangzhou) Technology Co., Ltd"
Evidence Srl
Evolution Synergetique Automotive S.L
Excelfore Corporation
FPT-Software
"Freetech Intelligent Systems Co., Ltd"
GAIO TECHNOLOGY
GLIWA GmbH
"GRC Automotive Technology (Suzhou) Co., Ltd"
GuardKnox Cyber Technologies Ltd
HANECS GmbH
HoloMatic Technology (Beijing) Co. Ltd
Intrepid Control Systems
INCHRON AG
IncQuery Labs cPlc
Integral Powertrain
IP-CAMP Ltd
iSYSTEM AG
Kaspersky Labs GmbH
keysight
"KopherBit Co., Ltd"
Lauterbach GmbH
Matrickz GmbH
OpenSynergy GmbH
Oxidos Automotive S.R.L
PLS Programmierbare Logik & Systeme GmbH
"Popcornsar Co., Ltd"
Programming Research Ltd
Real-Time Innovations
"RTST Co., Ltd"
RUETZ SYSTEM SOLUTIONS GmbH
Nanjing SemiDrive Technology Limited
RealThingks Automotive Engineering GmbH
"Shanghai Action Technology Co., Ltd"
Shanghai Enjoy Move Technolgy co. Ltd
"Shanghai Hinge Electronic Technology Co.,Ltd"
"Shanghai LinearX Technology Co., Ltd"
"Shanghai ZC Technology Co.,Ltd"
"Softing Electronic Science & Technology (Shanghai) Co., Ltd"
"Suzhou Flagchip Semiconductor Co., Ltd"
Suzhou Yuntu Microelectronics
SYSGO GmbH
Technica Engineering GmBh
Technowelle GmbH
Thoughtworks Deutschland GmbH
TraceTronic GmbH
Trend Micro Incorporated
TTTech Auto AG
Unikie Oy
Validas
"Vault Micro, Inc"
Vehiclevo GmbH
Verolt Engineering Ltd
Acbel Polytech Inc
"AISIN SEIKI Co.,Ltd"
AKKA GmbH & Co. KGaA
Alkalee
"ALPSALPINE CO., LTD"
"Ambarella, Inc"
"ANALOG DEVICES, INC"
"Anhui Jianghuai Automobile Group Corp., Ltd"
Ansys Inc
"Apex.AI, Inc"
"ATEC Co.,Ltd"
AVL Software and Functions GmbH
